[0.3649455501253848, 0.41148126921231243, 0.1614151812303078, -0.5211200836526605, 0.4334706714710549, 0.46041295071681965]	[-0.3930118545924337, -0.08610898651597126, -0.662784921824916, -0.33509903702747107, 0.48867319272429505, -0.2185182328512972]
[0.3649455508707036, 0.4114812693726132, 0.1614151824890596, -0.5211200830183755, 0.4334706705465799, 0.46041295112977115]	[-0.3929547557758646, -0.08658590757007552, -0.6623935569651729, -0.3352477638332439, 0.48897149328965434, -0.21872364254766374]
[-0.36494688238919487, -0.41148158470094515, -0.16141741374059101, 0.5211189381914851, -0.43346899712749465, -0.4604137028968275]	[-0.3939833481063618, -0.07776077953863299, -0.6695601442148971, -0.3324734559399112, 0.48342019049606505, -0.21490908862933578]
[0.36494393807580816, 0.41148095317333916, 0.1614124405615697, -0.5211214431049975, 0.4334726477854583, 0.46041207241694626]	[-0.3932634162752299, -0.08400022918603367, -0.6645126917556694, -0.33443678822661976, 0.4873486031617788, -0.21760997929504458]
[-0.36494277239860834, -0.4114805475219942, -0.16141056518831523, 0.5211224976211034, -0.43347421057405755, -0.460411351479247]	[-0.39255869328454185, -0.08985711164693541, -0.6597039720037856, -0.3362583840165859, 0.49100562198890413, -0.22013136870849498]
[0.36494523545142765, 0.41148119061610094, 0.16141465655977869, -0.5211203558196588, 0.4334710699825581, 0.46041277108342177]	[0.3908830800750809, 0.10339997062923284, 0.6482455187300209, 0.34040584091150866, -0.49937441433813906, 0.22593288607262796]
[0.36494659040219896, 0.41148147548703906, 0.1614169487014903, -0.5211192053851642, 0.43346939430276327, 0.46041351863107766]	[0.3913834747966476, 0.09895651674145454, 0.652118941152113, 0.3390456136489321, -0.4966228241295914, 0.2240118578560412]
[-0.36494777024841496, -0.4114817894279514, -0.16141890499057304, 0.521118177027053, -0.43346788543491466, -0.46041420149698925]	[-0.3932410510943978, -0.08423552357914886, -0.6643045327976287, -0.33451943449238497, 0.4875073932389276, -0.2177122630683094]
[0.36492973768335313, 0.41147772033339275, 0.1613885658654201, -0.5211335992676854, 0.43349039547863916, 0.46040411789380953]	[0.3927255615193523, 0.08863735259008898, 0.6607231915261877, 0.33586007919895206, -0.49022517347632166, 0.21961831372898347]
[-0.3649444000671376, -0.41148102914488377, -0.16141323459920096, 0.5211210594284879, -0.43347209246101354, -0.4604123170456331]	[0.3928189450231945, 0.08769048654603734, 0.6614918149000757, 0.33558861208090546, -0.4896576268363221, 0.2191983707581341]
